Energy 	 total 	 metal 	 mol 
0.0 	 0.08400066975661068 	 0.0006508159666170333 	 0.001848457578323102 
0.02 	 0.08560853693856875 	 0.0006579797870016525 	 0.001873359839874812 
0.04 	 0.0872969180864326 	 0.0006652655081385553 	 0.0018989373768644668 
0.06 	 0.08907321986141489 	 0.0006726759753949415 	 0.0019252326371435153 
0.08 	 0.09094286240698346 	 0.0006802141205813049 	 0.0019522945934958554 
0.1 	 0.09290732651092241 	 0.0006878829655661106 	 0.001980180404707385 
0.12 	 0.0949632719332771 	 0.0006956856261914404 	 0.0020089575348725924 
0.14 	 0.09710517823777061 	 0.0007036253165520682 	 0.002038706362123138 
0.16 	 0.09933157604815589 	 0.0007117053537160284 	 0.00206952316018843 
0.18 	 0.10164771112305727 	 0.0007199291629777629 	 0.0021015230638212327 
0.2 	 0.10405681853534152 	 0.0007283002837328189 	 0.002134842160088547 
0.22 	 0.10654769844052042 	 0.0007368223760135464 	 0.002169636865245209 
0.24 	 0.1090950949950192 	 0.0007454992275507411 	 0.002206076510143635 
0.26 	 0.11167002240980797 	 0.000754334760752958 	 0.002244321493660095 
0.28 	 0.11424425599207905 	 0.0007633330378656189 	 0.002284477596314004 
0.3 	 0.11679739202642592 	 0.0007724982601731963 	 0.002326520058739312 
0.32 	 0.1193372380525993 	 0.0007818347528466974 	 0.0023701942946339188 
0.34 	 0.12190522857535536 	 0.0007913469222072374 	 0.002414954273752281 
0.36 	 0.12455161259024178 	 0.0008010391758657376 	 0.0024600606802692255 
0.38 	 0.1273113294266702 	 0.0008109158325375931 	 0.002504825220603877 
0.4 	 0.1301989038871027 	 0.0008209811305441994 	 0.002548777185754857 
0.42 	 0.1332161271457156 	 0.0008312394629431634 	 0.0025917587374619895 
0.44 	 0.13636399909350083 	 0.0008416957065360176 	 0.002634110341190507 
0.46 	 0.1396401715750517 	 0.0008523552105425507 	 0.0026766318719281153 
0.48 	 0.1430216189070076 	 0.0008632233738556657 	 0.0027201249813721406 
0.5 	 0.14646942493696116 	 0.0008743054131986844 	 0.002765066164660342 
0.52 	 0.14996895414064823 	 0.0008856067728856211 	 0.002811800213643011 
0.54 	 0.1535637928031367 	 0.0008971337419305042 	 0.0028608861339566197 
0.56 	 0.1573467147241758 	 0.0009088934928309197 	 0.0029131277919958436 
0.58 	 0.16142222451902016 	 0.000920893557027005 	 0.0029693545904685642 
0.6 	 0.1658764649654715 	 0.000933141391024226 	 0.003030263576435085 
0.62 	 0.17076922830555638 	 0.0009456443168007455 	 0.003096399127658693 
0.64 	 0.17613852425708812 	 0.0009584096628727671 	 0.0031681444976589075 
0.66 	 0.1820036112215332 	 0.0009714449139490136 	 0.0032456105794865485 
0.68 	 0.18836138131350166 	 0.000984757807841982 	 0.0033284188183998636 
0.7000000000000001 	 0.19518247931032698 	 0.0009983563878472805 	 0.0034155392402234596 
0.72 	 0.20241821382212188 	 0.0010122490307018642 	 0.00350541675567911 
0.74 	 0.21001521258005965 	 0.001026444464102358 	 0.003596295390387109 
0.76 	 0.21791982996403042 	 0.001040951781047972 	 0.003686313377759808 
0.78 	 0.22607781009192068 	 0.0010557804542619378 	 0.003773484126881227 
0.8 	 0.23445787730892678 	 0.0010709403519976787 	 0.003856211537415503 
0.8200000000000001 	 0.24310210112523786 	 0.0010864417556990498 	 0.003934401954141273 
0.84 	 0.2521643203342779 	 0.0011022953796680126 	 0.004010299068775704 
0.86 	 0.26188494881798247 	 0.001118512392801522 	 0.004087880899197023 
0.88 	 0.2725157580102407 	 0.001135104442458749 	 0.00417112590261525 
0.9 	 0.28426750480393054 	 0.0011520836805535342 	 0.004262787365126407 
0.92 	 0.29730940008292905 	 0.0011694627920129416 	 0.00436432612136603 
0.9400000000000001 	 0.31179462089484994 	 0.0011872550257937251 	 0.004476418377033281 
0.96 	 0.3278855691902759 	 0.0012054742287035962 	 0.004599447564945059 
0.98 	 0.3457706834945826 	 0.0012241348823344971 	 0.004733803988106261 
1.0 	 0.36567356541283486 	 0.0012432521434837882 	 0.004880031141612969 
1.02 	 0.38785569589078894 	 0.001262841888519706 	 0.005038890288219818 
1.04 	 0.4126124047816303 	 0.00128292076224414 	 0.00521139198327019 
1.06 	 0.4402635764687506 	 0.0013035062319243168 	 0.005398820155672878 
1.08 	 0.47115242004019303 	 0.001324616647312648 	 0.005602760985886603 
1.1 	 0.5056851896575382 	 0.0013462713076598369 	 0.00582514267555439 
1.12 	 0.5444346761182495 	 0.001368490536963446 	 0.006068290003883943 
1.1400000000000001 	 0.5882555311397448 	 0.0013912957689981751 	 0.006334997347255994 
1.16 	 0.6383199043246233 	 0.0014147096440680186 	 0.00662862467485341 
1.18 	 0.696086716280664 	 0.0014387561199331943 	 0.00695322258060689 
1.2 	 0.7633065513179451 	 0.0014634606000336677 	 0.007313694626292657 
1.22 	 0.8421100730901105 	 0.0014888500830045922 	 0.007716008266131032 
1.24 	 0.9351617929683792 	 0.0015149533386116267 	 0.008167469596985548 
1.26 	 1.0458606429813506 	 0.0015418011166865608 	 0.008677082339631697 
1.28 	 1.1785901996789783 	 0.0015694263974838716 	 0.00925601789137957 
1.3 	 1.339030673929447 	 0.0015978646942318338 	 0.009918230667441397 
1.32 	 1.5345366147525903 	 0.001627154421870022 	 0.01068125997884699 
1.34 	 1.7745508417666866 	 0.001657337350721139 	 0.0115672635178861 
1.36 	 2.070937994213804 	 0.001688459169409422 	 0.012604324417288208 
1.3800000000000001 	 2.437915553072736 	 0.0017205701792049177 	 0.01382806576788518 
