Energy 	 total 	 metal 	 mol 
0.0 	 0.07790079880351806 	 0.0006508159666170333 	 0.001848457578323102 
0.02 	 0.07944461836608885 	 0.0006579797870016525 	 0.001873359839874812 
0.04 	 0.08106781025481337 	 0.0006652655081385553 	 0.0018989373768644668 
0.06 	 0.0827777472046755 	 0.0006726759753949415 	 0.0019252326371435153 
0.08 	 0.08457981370563943 	 0.0006802141205813049 	 0.0019522945934958554 
0.1 	 0.08647545302300903 	 0.0006878829655661106 	 0.001980180404707385 
0.12 	 0.08846128536727588 	 0.0006956856261914404 	 0.0020089575348725924 
0.14 	 0.09053174854864704 	 0.0007036253165520682 	 0.002038706362123138 
0.16 	 0.09268532903489238 	 0.0007117053537160284 	 0.00206952316018843 
0.18 	 0.09492722580274149 	 0.0007199291629777629 	 0.0021015230638212327 
0.2 	 0.09726062426494207 	 0.0007283002837328189 	 0.002134842160088547 
0.22 	 0.09967427175281056 	 0.0007368223760135464 	 0.002169636865245209 
0.24 	 0.10214285610955562 	 0.0007454992275507411 	 0.002206076510143635 
0.26 	 0.10463733137322115 	 0.000754334760752958 	 0.002244321493660095 
0.28 	 0.10712940839395334 	 0.0007633330378656189 	 0.002284477596314004 
0.3 	 0.10959861422742545 	 0.0007724982601731963 	 0.002326520058739312 
0.32 	 0.1120526818498503 	 0.0007818347528466974 	 0.0023701942946339188 
0.34 	 0.11453296521593483 	 0.0007913469222072374 	 0.002414954273752281 
0.36 	 0.11708962602632576 	 0.0008010391758657376 	 0.0024600606802692255 
0.38 	 0.11975750868467434 	 0.0008109158325375931 	 0.002504825220603877 
0.4 	 0.12255103439697555 	 0.0008209811305441994 	 0.002548777185754857 
0.42 	 0.12547188084411795 	 0.0008312394629431634 	 0.0025917587374619895 
0.44 	 0.1285209230742126 	 0.0008416957065360176 	 0.002634110341190507 
0.46 	 0.1316956750093596 	 0.0008523552105425507 	 0.0026766318719281153 
0.48 	 0.1349729578931313 	 0.0008632233738556657 	 0.0027201249813721406 
0.5 	 0.1383136848569095 	 0.0008743054131986844 	 0.002765066164660342 
0.52 	 0.14170302900013332 	 0.0008856067728856211 	 0.002811800213643011 
0.54 	 0.1451843608984799 	 0.0008971337419305042 	 0.0028608861339566197 
0.56 	 0.1488502098102986 	 0.0009088934928309197 	 0.0029131277919958436 
0.58 	 0.15280480143219957 	 0.000920893557027005 	 0.0029693545904685642 
0.6 	 0.15713395836662572 	 0.000933141391024226 	 0.003030263576435085 
0.62 	 0.1618971028312647 	 0.0009456443168007455 	 0.003096399127658693 
0.64 	 0.1671318138645542 	 0.0009584096628727671 	 0.0031681444976589075 
0.66 	 0.17285684484632624 	 0.0009714449139490136 	 0.0032456105794865485 
0.68 	 0.179068491064375 	 0.000984757807841982 	 0.0033284188183998636 
0.7000000000000001 	 0.18573668621936243 	 0.0009983563878472805 	 0.0034155392402234596 
0.72 	 0.1928118845341357 	 0.0010122490307018642 	 0.00350541675567911 
0.74 	 0.200239678141964 	 0.001026444464102358 	 0.003596295390387109 
0.76 	 0.2079651548446737 	 0.001040951781047972 	 0.003686313377759808 
0.78 	 0.21593249543809775 	 0.0010557804542619378 	 0.003773484126881227 
0.8 	 0.22410847686462573 	 0.0010709403519976787 	 0.003856211537415503 
0.8200000000000001 	 0.2325327208124943 	 0.0010864417556990498 	 0.003934401954141273 
0.84 	 0.24135596291575295 	 0.0011022953796680126 	 0.004010299068775704 
0.86 	 0.2508146535169192 	 0.001118512392801522 	 0.004087880899197023 
0.88 	 0.2611554731152087 	 0.001135104442458749 	 0.00417112590261525 
0.9 	 0.2725826246992639 	 0.0011520836805535342 	 0.004262787365126407 
0.92 	 0.2852569119403095 	 0.0011694627920129416 	 0.00436432612136603 
0.9400000000000001 	 0.2993208776741035 	 0.0011872550257937251 	 0.004476418377033281 
0.96 	 0.3149239198719839 	 0.0012054742287035962 	 0.004599447564945059 
0.98 	 0.33223972728665896 	 0.0012241348823344971 	 0.004733803988106261 
1.0 	 0.35147797377501955 	 0.0012432521434837882 	 0.004880031141612969 
1.02 	 0.3728937368784362 	 0.001262841888519706 	 0.005038890288219818 
1.04 	 0.3967971926537315 	 0.00128292076224414 	 0.00521139198327019 
1.06 	 0.4235652489508226 	 0.0013035062319243168 	 0.005398820155672878 
1.08 	 0.45365636786496427 	 0.001324616647312648 	 0.005602760985886603 
1.1 	 0.48762980318749644 	 0.0013462713076598369 	 0.00582514267555439 
1.12 	 0.5261707215232576 	 0.001368490536963446 	 0.006068290003883943 
1.1400000000000001 	 0.5701231349232911 	 0.0013912957689981751 	 0.006334997347255994 
1.16 	 0.6205332549241438 	 0.0014147096440680186 	 0.00662862467485341 
1.18 	 0.678706827850239 	 0.0014387561199331943 	 0.00695322258060689 
1.2 	 0.7462852957545579 	 0.0014634606000336677 	 0.007313694626292657 
1.22 	 0.8253473089914999 	 0.0014888500830045922 	 0.007716008266131032 
1.24 	 0.9185441926701148 	 0.0015149533386116267 	 0.008167469596985548 
1.26 	 1.0292802188891634 	 0.0015418011166865608 	 0.008677082339631697 
1.28 	 1.1619501439209294 	 0.0015694263974838716 	 0.00925601789137957 
1.3 	 1.3222451377622857 	 0.0015978646942318338 	 0.009918230667441397 
1.32 	 1.5175281608288869 	 0.001627154421870022 	 0.01068125997884699 
1.34 	 1.7572472562920833 	 0.001657337350721139 	 0.0115672635178861 
1.36 	 2.053269069988666 	 0.001688459169409422 	 0.012604324417288208 
1.3800000000000001 	 2.419809961859123 	 0.0017205701792049177 	 0.01382806576788518 
1.4000000000000001 	 2.8722002688068984 	 0.0017537261134003607 	 0.015283618849968298 
1.42 	 3.42289853454734 	 0.001787989011541985 	 0.017028078970480396 
1.44 	 4.072096501474205 	 0.0018234279769666893 	 0.019133702645761835 
1.46 	 4.7903330841429455 	 0.0018601194491452075 	 0.021691748247676796 
1.48 	 5.496366915248969 	 0.0018981462709159918 	 0.024814993225922614 
1.5 	 6.05075301827923 	 0.0019375944500107177 	 0.028632975641693002 
1.52 	 6.3005601050300095 	 0.001978546638046475 	 0.033268605562140924 
1.54 	 6.1732644486835575 	 0.002021073500587973 	 0.03877927952299156 
1.56 	 5.7333388620228805 	 0.0020652301646675703 	 0.04504440401496303 
1.58 	 5.131596832261166 	 0.002111069541387603 	 0.051601848887994135 
1.6 	 4.508497256017037 	 0.0021586735665441972 	 0.05751320087129815 
1.62 	 3.942641695334233 	 0.002208186673179078 	 0.06147242057836976 
1.6400000000000001 	 3.454268920495329 	 0.002259843806380678 	 0.062367038751699376 
1.6600000000000001 	 3.031534948723715 	 0.0023139947075956017 	 0.06002716452947385 
1.68 	 2.65701328780134 	 0.0023711068392318732 	 0.055385887994332104 
1.7 	 2.3226181397402823 	 0.002431738865686139 	 0.04982925174906212 
1.72 	 2.029198918666196 	 0.0024965153549522663 	 0.044472087823870576 
1.74 	 1.7790070110143494 	 0.0025661189902918225 	 0.039919644826059815 
1.76 	 1.571114064095642 	 0.0026412681249069706 	 0.03638722028112175 
1.78 	 1.4014866743317624 	 0.0027226107823468126 	 0.033886483357753294 
1.8 	 1.2647307589975096 	 0.00281042836910446 	 0.03235528773417225 
1.82 	 1.155422303192824 	 0.0029040364037331715 	 0.031726528115145106 
1.84 	 1.0686703494136773 	 0.003000945271347572 	 0.031958507912650216 
1.86 	 1.0002546489044668 	 0.003096378654691306 	 0.033043604938899206 
1.8800000000000001 	 0.9466626326866887 	 0.0031843812371949395 	 0.03500077901558066 
1.9000000000000001 	 0.9051989065218561 	 0.0032610435666326474 	 0.03784632975468569 
1.92 	 0.8741242596036889 	 0.003327502063686693 	 0.04152908214581885 
1.94 	 0.852446757995289 	 0.0033893389206125675 	 0.04582128257295806 
1.96 	 0.8391243251527829 	 0.003453061272977957 	 0.050201720968811085 
1.98 	 0.8321723790557614 	 0.003523357110786187 	 0.05386090136502209 
2.0 	 0.8284593055910936 	 0.003602677736664007 	 0.055974834422931136 
2.02 	 0.824441571777136 	 0.0036920375892476433 	 0.056139953441738784 
2.04 	 0.8174302103112977 	 0.0037916917124960754 	 0.05458458397707182 
2.06 	 0.8065849264018896 	 0.0039013006325530697 	 0.05198557866908901 
2.08 	 0.7928899493228436 	 0.0040198628367706666 	 0.04910549792343561 
2.1 	 0.7783503305836736 	 0.004145637613391102 	 0.04650918244301788 
2.12 	 0.7652301347394754 	 0.00427597715390852 	 0.04445392734875515 
2.14 	 0.7554722973847366 	 0.004407348972763645 	 0.042905234098503386 
2.16 	 0.7502452441036187 	 0.004536547944375472 	 0.041626491843447654 
2.18 	 0.7498931696397717 	 0.004662929231035995 	 0.04034141903828899 
2.2 	 0.7542243534861486 	 0.004789139919062753 	 0.038909847516241436 
2.22 	 0.7626605349471239 	 0.0049191644535354125 	 0.037379143598035444 
2.24 	 0.7742004824768516 	 0.005056113615854339 	 0.035880698737814076 
2.2600000000000002 	 0.7875834159571187 	 0.005201869668139328 	 0.03450078070374989 
2.2800000000000002 	 0.8016995271225195 	 0.0053578598311105905 	 0.03323934895665053 
2.3000000000000003 	 0.8159974942231112 	 0.0055254929433351165 	 0.03205767573736792 
2.32 	 0.8306894436149804 	 0.00570607515725804 	 0.030942925914232512 
2.34 	 0.8465593495810547 	 0.005900719291215842 	 0.029927624169245763 
2.36 	 0.8643215602297079 	 0.00611040738182689 	 0.029065288591156528 
2.38 	 0.8835834714026491 	 0.006336076679074414 	 0.02839430189312636 
2.4 	 0.9018451500803945 	 0.006578681936838546 	 0.027915129408215902 
2.42 	 0.914811256824107 	 0.006839281249284412 	 0.027599495173264384 
2.44 	 0.9187214473268988 	 0.007119130107192926 	 0.02742924270749119 
2.46 	 0.9129100893178499 	 0.0074197222690879335 	 0.027428859348568264 
2.48 	 0.9001363869811245 	 0.007742811369467172 	 0.02765710541110652 
2.5 	 0.8849730209147288 	 0.008090505068025411 	 0.02816908657402513 
2.52 	 0.8720592810632747 	 0.00846540019430641 	 0.028983172818897663 
2.54 	 0.8649578575563204 	 0.0088706396042672 	 0.03006289884685418 
2.56 	 0.8656723588699937 	 0.00930989316298681 	 0.031306310048459324 
2.58 	 0.8748042026403441 	 0.009787376147230405 	 0.032549017530697576 
2.6 	 0.8921118437150005 	 0.010307956105316063 	 0.0336036550847334 
2.62 	 0.9170819955157533 	 0.010877316160835548 	 0.03433761134749745 
